dg_id,player_name,ppi,teetime,first_tee_time_in_group,sg_total,score,event_name,wave_average,course_factor_star,category,ppi_sg_diff
27996,"Cummins, Quade",0.20524587173948589,2025-06-29T06:40:00.000000,2024-05-02T15:12:00.000000,0.34524,69,Rocket Classic,70.19354838709677,0.9565217043034202,Imposter,-0.1399941282605141
28159,"Meissner, Mac",-0.11742257378725682,2025-06-27T06:45:00.000000,2025-01-11T09:00:00.000000,-0.28474000000000005,69,Rocket Classic,68.87179487179488,0.9565217043034202,Gamer,0.16731742621274323
28270,"Dunlap, Nick",-1.8503915045484756,2025-06-27T13:16:00.000000,2025-01-11T08:00:00.000000,-1.6406999999999998,75,Rocket Classic,70.37179487179488,0.9565217043034202,Mule,-0.20969150454847574
28309,"Coody, Pierceson",0.35856758309508074,2025-05-25T10:28:00.000000,2024-08-10T09:00:00.000000,0.34332,70,Charles Schwab Challenge,71.14102564102564,1.579838262569973,Proper Player,0.01524758309508073
28469,"Highsmith, Joe",0.03567007110205982,2025-06-29T10:20:00.000000,2025-02-06T08:59:00.000000,-0.007080000000000058,69,Rocket Classic,70.19354838709677,0.9565217043034202,Gamer,0.042750071102059875
28635,"McCarty, Matt",0.37598135981313235,2025-06-29T11:50:00.000000,2025-01-12T07:50:00.000000,0.4382400000000001,68,Rocket Classic,70.19354838709677,0.9565217043034202,Imposter,-0.06225864018686772
29279,"Suber, Jackson",-0.8372232112582898,2025-06-29T13:15:00.000000,2024-06-14T07:51:00.000000,-0.5401600000000001,68,Rocket Classic,68.79166666666667,0.9565217043034202,Mule,-0.2970632112582897
29433,"Bridgeman, Jacob",0.2569769839572484,2025-06-29T11:35:00.000000,2025-02-20T07:52:00.000000,0.47753999999999996,70,Rocket Classic,70.19354838709677,0.9565217043034202,Imposter,-0.22056301604275158
29767,"Gerard, Ryan",0.8548535475538191,2025-06-29T11:50:00.000000,2025-03-13T14:46:00.000000,0.59258,73,Rocket Classic,70.19354838709677,0.9565217043034202,Proper Player,0.26227354755381915
29770,"Mouw, William",-0.7123982788838004,2025-06-29T11:15:00.000000,2023-07-09T11:55:00.000000,-0.34441999999999995,71,Rocket Classic,70.19354838709677,0.9565217043034202,Mule,-0.3679782788838004
31212,"Chandler, Will",-1.0857842170669216,2025-06-27T14:11:00.000000,2024-12-13T09:40:00.000000,-0.7648999999999999,69,Rocket Classic,70.37179487179488,0.9565217043034202,Mule,-0.3208842170669217
32330,"Clanton, Luke",1.0303879302130556,2025-06-29T07:16:00.000000,2024-06-29T12:59:00.000000,1.0220799999999999,69,Rocket Classic,70.19354838709677,0.9565217043034202,Proper Player,0.008307930213055759
